Filename,RMS,Kurtosis,Peak_to_Peak,Crest_Factor,Skewness,Max_FFT_Peak,Cycle,RUL_Cycles,Health_State
2004.02.12.10.32.39,0.07417899856512623,0.6287626426442561,0.8400000000000001,6.120329845085568,0.08399343541253215,0.04230153733086346,0,983,Normal
2004.02.12.10.42.39,0.07538245681139528,0.6482910813108549,0.757,5.147085475071606,0.05214190733133261,0.035461123090476936,1,982,Normal
2004.02.12.10.52.39,0.07622977446919937,0.5134753088232071,0.903,6.598470709349009,0.03280799811503519,0.03378065594557981,2,981,Normal
2004.02.12.11.02.39,0.07872367646602975,1.1579527230048088,1.184,7.723215556760793,0.04148596171613033,0.03496961189874059,3,980,Normal
2004.02.12.11.12.39,0.07847429073677968,0.6031769286310373,0.782,4.9825228938515975,0.02822394436819329,0.03189050198647205,4,979,Normal
2004.02.12.11.22.39,0.07831464139380724,0.45609362146286436,0.8049999999999999,5.605592212783751,0.02685297230141105,0.029377521495200388,5,978,Normal
2004.02.12.11.32.39,0.07863244325857172,0.4786149756059883,0.796,5.188697326514151,0.05859457915072469,0.04277308146260565,6,977,Normal
2004.02.12.11.42.39,0.07777288022464836,0.4719824550317817,0.749,5.336049602904884,0.0825818179550488,0.037877641579378965,7,976,Normal
2004.02.12.11.52.39,0.07902942984262255,0.404514320897305,0.747,4.884255800985958,-0.008060293710742156,0.03653000410918695,8,975,Normal
2004.02.12.12.02.39,0.07571755989830316,0.32520331504832,0.722,4.9922362868709955,0.04632106694487997,0.03025358804155373,9,974,Normal
2004.02.12.12.12.39,0.07924111648011797,0.4552119318712826,0.815,5.237179460139625,0.03351974676189382,0.039521850440822445,10,973,Normal
2004.02.12.12.22.39,0.077638908086269,0.6415150749455005,0.913,6.105185539465037,0.019565298132388165,0.027801052178730135,11,972,Normal
2004.02.12.12.32.39,0.07740458087623109,0.3647260382142652,0.778,5.167652144038779,0.025770055100995167,0.04165626889037469,12,971,Normal
2004.02.12.12.42.39,0.07986468720103242,0.5982531546782233,0.852,5.40914841150134,0.036749791511127325,0.028861813580789195,13,970,Normal
2004.02.12.12.52.39,0.07921698007145074,0.5511103583412886,0.8049999999999999,5.327140044318421,0.024887726210298083,0.03235497796091175,14,969,Normal
2004.02.12.13.02.39,0.07866177721938719,0.5530516614826197,0.725,4.71639423809789,-0.01348361399462306,0.04268133348766211,15,968,Normal
2004.02.12.13.12.39,0.07845338360094803,0.47996609907349486,0.8200000000000001,5.595678910117856,0.01645553133519379,0.04179024121395028,16,967,Normal
2004.02.12.13.22.39,0.07762277416041877,0.4477488811593342,0.849,5.719970042332023,0.02039051089838273,0.037721764511427,17,966,Normal
2004.02.12.13.32.39,0.07782555832949016,0.34144531637324205,0.761,5.203945293214581,0.003513831143354892,0.032829879640084984,18,965,Normal
2004.02.12.13.42.39,0.07893316063389487,0.5964296522845243,0.874,5.967073110297014,-0.03212357182340833,0.037306938908035873,19,964,Normal
2004.02.12.13.52.39,0.07902854786058722,0.5063801110635779,0.8029999999999999,5.2512662667094805,0.06155298503420976,0.04016259026501478,20,963,Normal
2004.02.12.14.02.39,0.07936328499916934,0.3844068433999399,0.742,4.800707934366734,0.037744146441618366,0.03230602294241832,21,962,Normal
2004.02.12.14.12.39,0.07948672040475141,0.4149724425540562,0.6859999999999999,4.327766386267625,0.019707753869455672,0.032384961801175366,22,961,Normal
2004.02.12.14.22.39,0.07975294340914243,0.5200740317916859,0.759,4.927717196676865,-0.03851889509533163,0.03001801404830913,23,960,Normal
2004.02.12.14.32.39,0.07938138784581765,0.4846810415588352,0.85,5.505068087220943,-0.036549177114067834,0.03353490082742237,24,959,Normal
2004.02.12.14.42.39,0.07759187944533484,0.3099755507638151,0.7130000000000001,5.219617706117742,0.0266197723662214,0.04159585954728123,25,958,Normal
2004.02.12.14.52.39,0.07774099563514575,0.36804211992333746,0.732,4.990931064372417,0.0013370289616362577,0.041919991799336996,26,957,Normal
2004.02.12.15.02.39,0.07751394405806931,0.40420833824649316,0.769,5.160361187359135,-0.0326706483190684,0.035191939398006924,27,956,Normal
2004.02.12.15.12.39,0.07827954401833694,0.3419917127536731,0.735,4.99491859532578,0.03369687604185462,0.043242292240173674,28,955,Normal
2004.02.12.15.22.39,0.07886118143611597,0.5350200636292444,0.871,6.188088096479243,-0.006817488878259659,0.039777171936837386,29,954,Normal
2004.02.12.15.32.39,0.07858236746600665,0.4890447103350155,0.803,5.12837627207615,-0.0026227136240164137,0.04081470130418464,30,953,Normal
2004.02.12.15.42.39,0.08023091764702917,0.4867117699711172,0.774,4.935752478672273,0.02306220757724868,0.043041507887302814,31,952,Normal
